Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
1.400	0.03090	136.98	0.8308	300.12	-1000000	-1000000	-1000000	-1000000	
1.420	0.03091	136.98	0.8308	300.11	-1000000	-1000000	-1000000	-1000000	
1.440	0.03092	136.94	0.8307	300.11	-1000000	-1000000	-1000000	-1000000	
1.460	0.03092	136.95	0.8307	300.13	-1000000	-1000000	-1000000	-1000000	
1.480	0.03091	137.18	0.8308	300.14	-1000000	-1000000	-1000000	-1000000	
1.500	0.03088	137.28	0.8308	300.12	-1000000	-1000000	-1000000	-1000000	
1.520	0.03091	137.08	0.8309	300.10	-1000000	-1000000	-1000000	-1000000	
1.540	0.03095	136.30	0.8309	300.12	-1000000	-1000000	-1000000	-1000000	
1.560	0.03093	135.64	0.8308	300.14	-1000000	-1000000	-1000000	-1000000	
1.580	0.03091	135.38	0.8308	300.13	-1000000	-1000000	-1000000	-1000000	
1.600	0.03090	135.43	0.8309	300.11	-1000000	-1000000	-1000000	-1000000	
1.620	0.03094	135.63	0.8309	300.11	-1000000	-1000000	-1000000	-1000000	
1.640	0.03099	136.21	0.8309	300.13	-1000000	-1000000	-1000000	-1000000	
1.660	0.03099	136.49	0.8308	300.14	-1000000	-1000000	-1000000	-1000000	
1.680	0.03097	136.70	0.8308	300.13	-1000000	-1000000	-1000000	-1000000	
1.700	0.03096	136.96	0.8308	300.11	-1000000	-1000000	-1000000	-1000000	
1.720	0.03096	137.14	0.8309	300.10	-1000000	-1000000	-1000000	-1000000	
1.740	0.03097	137.08	0.8309	300.13	-1000000	-1000000	-1000000	-1000000	
1.760	0.03100	137.10	0.8308	300.14	-1000000	-1000000	-1000000	-1000000	
1.780	0.03100	137.24	0.8308	300.13	-1000000	-1000000	-1000000	-1000000	
1.800	0.03100	137.19	0.8309	300.11	-1000000	-1000000	-1000000	-1000000	
1.820	0.03105	137.02	0.8309	300.11	-1000000	-1000000	-1000000	-1000000	
1.840	0.03110	136.76	0.8309	300.13	-1000000	-1000000	-1000000	-1000000	
1.860	0.03115	136.07	0.8309	300.14	-1000000	-1000000	-1000000	-1000000	
1.880	0.03111	135.27	0.8309	300.12	-1000000	-1000000	-1000000	-1000000	
1.900	0.03108	134.44	0.8309	300.11	-1000000	-1000000	-1000000	-1000000	
1.920	0.03105	133.70	0.8309	300.12	-1000000	-1000000	-1000000	-1000000	
1.940	0.03100	132.77	0.8310	300.14	-1000000	-1000000	-1000000	-1000000	
1.960	0.03108	131.56	0.8313	300.13	-1000000	-1000000	-1000000	-1000000	
1.980	0.03117	130.23	0.8315	300.12	-1000000	-1000000	-1000000	-1000000	
2.000	0.03124	128.65	0.8316	300.11	-1000000	-1000000	-1000000	-1000000	
2.020	0.03128	126.70	0.8316	300.12	-1000000	-1000000	-1000000	-1000000	
2.040	0.03134	123.63	0.8317	300.14	-1000000	-1000000	-1000000	-1000000	
2.060	0.03150	118.22	0.8320	300.13	-1000000	-1000000	-1000000	-1000000	
2.080	0.03180	108.17	0.8322	300.11	-1000000	-1000000	-1000000	-1000000	
2.100	0.03220	90.43	0.8324	300.11	-1000000	-1000000	-1000000	-1000000	
2.120	0.03277	63.13	0.8327	300.13	-1000000	-1000000	-1000000	-1000000	
2.140	0.03354	29.51	0.8333	300.14	-1000000	-1000000	-1000000	-1000000	
2.160	0.03447	-6.345	0.8343	300.13	-1000000	-1000000	-1000000	-1000000	
2.180	0.03545	-37.92	0.8358	300.11	-1000000	-1000000	-1000000	-1000000	
2.200	0.03639	-59.03	0.8382	300.11	-1000000	-1000000	-1000000	-1000000	
2.220	0.03728	-67.81	0.8414	300.13	-1000000	-1000000	-1000000	-1000000	
2.240	0.03813	-67.19	0.8449	300.14	-1000000	-1000000	-1000000	-1000000	
