Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
0	0.06871	128.04	-0.2182	300.15	-1000000	-1000000	-1000000	-1000000	
0.02000	0.06872	127.90	-0.2182	300.14	-1000000	-1000000	-1000000	-1000000	
0.04000	0.06875	127.85	-0.2182	300.12	-1000000	-1000000	-1000000	-1000000	
0.06000	0.06879	128.03	-0.2182	300.14	-1000000	-1000000	-1000000	-1000000	
0.08000	0.06877	128.13	-0.2182	300.16	-1000000	-1000000	-1000000	-1000000	
0.1000	0.06868	128.01	-0.2182	300.16	-1000000	-1000000	-1000000	-1000000	
0.1200	0.06868	127.90	-0.2182	300.13	-1000000	-1000000	-1000000	-1000000	
0.1400	0.06875	128.05	-0.2182	300.11	-1000000	-1000000	-1000000	-1000000	
0.1600	0.06880	128.14	-0.2183	300.12	-1000000	-1000000	-1000000	-1000000	
0.1800	0.06883	128.10	-0.2182	300.14	-1000000	-1000000	-1000000	-1000000	
0.2000	0.06881	128.07	-0.2182	300.14	-1000000	-1000000	-1000000	-1000000	
0.2200	0.06880	128.07	-0.2182	300.13	-1000000	-1000000	-1000000	-1000000	
0.2400	0.06880	128.00	-0.2180	300.11	-1000000	-1000000	-1000000	-1000000	
0.2600	0.06883	127.96	-0.2178	300.13	-1000000	-1000000	-1000000	-1000000	
0.2800	0.06888	127.93	-0.2176	300.15	-1000000	-1000000	-1000000	-1000000	
0.3000	0.06889	127.90	-0.2176	300.14	-1000000	-1000000	-1000000	-1000000	
0.3200	0.06890	127.91	-0.2175	300.12	-1000000	-1000000	-1000000	-1000000	
0.3400	0.06893	128.49	-0.2175	300.12	-1000000	-1000000	-1000000	-1000000	
0.3600	0.06893	129.31	-0.2176	300.14	-1000000	-1000000	-1000000	-1000000	
0.3800	0.06891	129.26	-0.2176	300.15	-1000000	-1000000	-1000000	-1000000	
0.4000	0.06890	128.57	-0.2177	300.13	-1000000	-1000000	-1000000	-1000000	
0.4200	0.06891	128.02	-0.2176	300.11	-1000000	-1000000	-1000000	-1000000	
0.4400	0.06893	127.87	-0.2175	300.12	-1000000	-1000000	-1000000	-1000000	
