Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
0	0.03479	130.27	0.1210	300.13	-1000000	-1000000	-1000000	-1000000	
0.02000	0.03483	130.13	0.1210	300.11	-1000000	-1000000	-1000000	-1000000	
0.04000	0.03486	130.00	0.1211	300.11	-1000000	-1000000	-1000000	-1000000	
0.06000	0.03482	130.29	0.1211	300.14	-1000000	-1000000	-1000000	-1000000	
0.08000	0.03483	130.44	0.1211	300.15	-1000000	-1000000	-1000000	-1000000	
0.1000	0.03482	130.39	0.1213	300.13	-1000000	-1000000	-1000000	-1000000	
0.1200	0.03480	130.30	0.1215	300.11	-1000000	-1000000	-1000000	-1000000	
0.1400	0.03481	130.06	0.1217	300.12	-1000000	-1000000	-1000000	-1000000	
0.1600	0.03485	130.03	0.1218	300.14	-1000000	-1000000	-1000000	-1000000	
0.1800	0.03488	130.02	0.1217	300.14	-1000000	-1000000	-1000000	-1000000	
0.2000	0.03490	130.18	0.1217	300.12	-1000000	-1000000	-1000000	-1000000	
0.2200	0.03489	130.31	0.1217	300.11	-1000000	-1000000	-1000000	-1000000	
0.2400	0.03489	130.11	0.1217	300.12	-1000000	-1000000	-1000000	-1000000	
0.2600	0.03487	130.00	0.1217	300.14	-1000000	-1000000	-1000000	-1000000	
0.2800	0.03483	130.39	0.1217	300.14	-1000000	-1000000	-1000000	-1000000	
0.3000	0.03485	130.46	0.1217	300.11	-1000000	-1000000	-1000000	-1000000	
0.3200	0.03486	130.25	0.1217	300.10	-1000000	-1000000	-1000000	-1000000	
0.3400	0.03491	130.21	0.1218	300.11	-1000000	-1000000	-1000000	-1000000	
0.3600	0.03501	130.21	0.1217	300.14	-1000000	-1000000	-1000000	-1000000	
0.3800	0.03505	130.33	0.1217	300.13	-1000000	-1000000	-1000000	-1000000	
0.4000	0.03502	130.49	0.1217	300.11	-1000000	-1000000	-1000000	-1000000	
0.4200	0.03495	130.43	0.1217	300.11	-1000000	-1000000	-1000000	-1000000	
0.4400	0.03492	130.31	0.1217	300.13	-1000000	-1000000	-1000000	-1000000	
0.4600	0.03496	130.27	0.1217	300.14	-1000000	-1000000	-1000000	-1000000	
0.4800	0.03501	130.26	0.1217	300.13	-1000000	-1000000	-1000000	-1000000	
0.5000	0.03501	130.24	0.1216	300.11	-1000000	-1000000	-1000000	-1000000	
0.5200	0.03502	130.17	0.1216	300.12	-1000000	-1000000	-1000000	-1000000	
0.5400	0.03501	130.20	0.1216	300.14	-1000000	-1000000	-1000000	-1000000	
0.5600	0.03499	130.15	0.1216	300.14	-1000000	-1000000	-1000000	-1000000	
0.5800	0.03497	130.01	0.1216	300.12	-1000000	-1000000	-1000000	-1000000	
0.6000	0.03497	130.07	0.1217	300.11	-1000000	-1000000	-1000000	-1000000	
0.6200	0.03498	130.24	0.1217	300.11	-1000000	-1000000	-1000000	-1000000	
0.6400	0.03494	130.31	0.1218	300.13	-1000000	-1000000	-1000000	-1000000	
0.6600	0.03493	130.09	0.1218	300.13	-1000000	-1000000	-1000000	-1000000	
0.6800	0.03496	130.05	0.1221	300.12	-1000000	-1000000	-1000000	-1000000	
0.7000	0.03503	130.04	0.1223	300.10	-1000000	-1000000	-1000000	-1000000	
0.7200	0.03504	129.99	0.1223	300.11	-1000000	-1000000	-1000000	-1000000	
0.7400	0.03501	130.06	0.1223	300.13	-1000000	-1000000	-1000000	-1000000	
0.7600	0.03501	130.13	0.1224	300.13	-1000000	-1000000	-1000000	-1000000	
0.7800	0.03502	130.22	0.1224	300.11	-1000000	-1000000	-1000000	-1000000	
0.8000	0.03502	130.26	0.1224	300.11	-1000000	-1000000	-1000000	-1000000	
0.8200	0.03504	130.23	0.1224	300.13	-1000000	-1000000	-1000000	-1000000	
0.8400	0.03505	130.35	0.1224	300.14	-1000000	-1000000	-1000000	-1000000	
0.8600	0.03508	130.34	0.1224	300.13	-1000000	-1000000	-1000000	-1000000	
0.8800	0.03512	130.31	0.1224	300.11	-1000000	-1000000	-1000000	-1000000	
0.9000	0.03512	130.25	0.1223	300.11	-1000000	-1000000	-1000000	-1000000	
0.9200	0.03509	130.22	0.1223	300.13	-1000000	-1000000	-1000000	-1000000	
0.9400	0.03507	130.31	0.1222	300.14	-1000000	-1000000	-1000000	-1000000	
0.9600	0.03507	130.28	0.1222	300.12	-1000000	-1000000	-1000000	-1000000	
0.9800	0.03509	130.07	0.1223	300.10	-1000000	-1000000	-1000000	-1000000	
1.000	0.03511	129.86	0.1224	300.12	-1000000	-1000000	-1000000	-1000000	
1.020	0.03517	129.89	0.1224	300.14	-1000000	-1000000	-1000000	-1000000	
1.040	0.03521	130.16	0.1223	300.14	-1000000	-1000000	-1000000	-1000000	
1.060	0.03527	130.25	0.1223	300.12	-1000000	-1000000	-1000000	-1000000	
1.080	0.03527	130.29	0.1223	300.11	-1000000	-1000000	-1000000	-1000000	
1.100	0.03521	130.27	0.1223	300.12	-1000000	-1000000	-1000000	-1000000	
1.120	0.03521	130.17	0.1223	300.14	-1000000	-1000000	-1000000	-1000000	
1.140	0.03517	130.18	0.1223	300.13	-1000000	-1000000	-1000000	-1000000	
1.160	0.03506	130.15	0.1223	300.11	-1000000	-1000000	-1000000	-1000000	
1.180	0.03505	130.08	0.1223	300.10	-1000000	-1000000	-1000000	-1000000	
1.200	0.03515	130.08	0.1225	300.12	-1000000	-1000000	-1000000	-1000000	
1.220	0.03518	130.29	0.1229	300.14	-1000000	-1000000	-1000000	-1000000	
1.240	0.03522	130.46	0.1230	300.13	-1000000	-1000000	-1000000	-1000000	
1.260	0.03524	130.42	0.1230	300.11	-1000000	-1000000	-1000000	-1000000	
1.280	0.03517	130.19	0.1231	300.11	-1000000	-1000000	-1000000	-1000000	
1.300	0.03517	130.14	0.1231	300.13	-1000000	-1000000	-1000000	-1000000	
1.320	0.03519	130.04	0.1231	300.14	-1000000	-1000000	-1000000	-1000000	
1.340	0.03517	130.06	0.1230	300.12	-1000000	-1000000	-1000000	-1000000	
1.360	0.03517	130.05	0.1230	300.11	-1000000	-1000000	-1000000	-1000000	
1.380	0.03520	130.07	0.1230	300.12	-1000000	-1000000	-1000000	-1000000	
1.400	0.03524	130.05	0.1231	300.14	-1000000	-1000000	-1000000	-1000000	
1.420	0.03528	130.12	0.1231	300.14	-1000000	-1000000	-1000000	-1000000	
1.440	0.03528	130.20	0.1231	300.12	-1000000	-1000000	-1000000	-1000000	
1.460	0.03524	130.29	0.1231	300.11	-1000000	-1000000	-1000000	-1000000	
1.480	0.03520	130.22	0.1231	300.12	-1000000	-1000000	-1000000	-1000000	
1.500	0.03517	130.02	0.1231	300.14	-1000000	-1000000	-1000000	-1000000	
1.520	0.03520	129.95	0.1231	300.14	-1000000	-1000000	-1000000	-1000000	
1.540	0.03524	129.69	0.1231	300.11	-1000000	-1000000	-1000000	-1000000	
1.560	0.03524	129.30	0.1231	300.11	-1000000	-1000000	-1000000	-1000000	
1.580	0.03523	129.62	0.1231	300.13	-1000000	-1000000	-1000000	-1000000	
1.600	0.03527	130.09	0.1231	300.14	-1000000	-1000000	-1000000	-1000000	
1.620	0.03530	130.11	0.1230	300.13	-1000000	-1000000	-1000000	-1000000	
1.640	0.03529	129.95	0.1230	300.11	-1000000	-1000000	-1000000	-1000000	
1.660	0.03526	129.77	0.1230	300.11	-1000000	-1000000	-1000000	-1000000	
1.680	0.03522	129.86	0.1230	300.13	-1000000	-1000000	-1000000	-1000000	
1.700	0.03523	129.99	0.1230	300.14	-1000000	-1000000	-1000000	-1000000	
1.720	0.03527	130.11	0.1231	300.12	-1000000	-1000000	-1000000	-1000000	
1.740	0.03532	130.19	0.1231	300.10	-1000000	-1000000	-1000000	-1000000	
1.760	0.03537	130.21	0.1233	300.11	-1000000	-1000000	-1000000	-1000000	
1.780	0.03535	130.26	0.1236	300.13	-1000000	-1000000	-1000000	-1000000	
1.800	0.03533	130.29	0.1238	300.14	-1000000	-1000000	-1000000	-1000000	
1.820	0.03531	130.22	0.1238	300.12	-1000000	-1000000	-1000000	-1000000	
1.840	0.03531	130.11	0.1237	300.11	-1000000	-1000000	-1000000	-1000000	
1.860	0.03532	130.16	0.1237	300.12	-1000000	-1000000	-1000000	-1000000	
1.880	0.03533	130.05	0.1236	300.14	-1000000	-1000000	-1000000	-1000000	
1.900	0.03535	129.95	0.1237	300.14	-1000000	-1000000	-1000000	-1000000	
1.920	0.03539	129.98	0.1236	300.12	-1000000	-1000000	-1000000	-1000000	
1.940	0.03544	130.12	0.1236	300.11	-1000000	-1000000	-1000000	-1000000	
1.960	0.03541	130.15	0.1236	300.12	-1000000	-1000000	-1000000	-1000000	
1.980	0.03538	130.10	0.1237	300.14	-1000000	-1000000	-1000000	-1000000	
2.000	0.03536	130.22	0.1238	300.13	-1000000	-1000000	-1000000	-1000000	
2.020	0.03534	130.24	0.1237	300.11	-1000000	-1000000	-1000000	-1000000	
2.040	0.03537	130.10	0.1237	300.11	-1000000	-1000000	-1000000	-1000000	
2.060	0.03540	130.12	0.1237	300.13	-1000000	-1000000	-1000000	-1000000	
2.080	0.03542	130.10	0.1237	300.14	-1000000	-1000000	-1000000	-1000000	
2.100	0.03548	130.07	0.1237	300.12	-1000000	-1000000	-1000000	-1000000	
2.120	0.03550	130.10	0.1237	300.10	-1000000	-1000000	-1000000	-1000000	
2.140	0.03549	130.11	0.1236	300.11	-1000000	-1000000	-1000000	-1000000	
2.160	0.03546	129.76	0.1236	300.13	-1000000	-1000000	-1000000	-1000000	
2.180	0.03541	129.02	0.1237	300.14	-1000000	-1000000	-1000000	-1000000	
2.200	0.03540	128.59	0.1238	300.11	-1000000	-1000000	-1000000	-1000000	
2.220	0.03541	128.48	0.1237	300.10	-1000000	-1000000	-1000000	-1000000	
2.240	0.03547	128.48	0.1237	300.12	-1000000	-1000000	-1000000	-1000000	
2.260	0.03555	128.41	0.1237	300.14	-1000000	-1000000	-1000000	-1000000	
2.280	0.03559	128.41	0.1240	300.14	-1000000	-1000000	-1000000	-1000000	
2.300	0.03564	128.30	0.1244	300.11	-1000000	-1000000	-1000000	-1000000	
2.320	0.03565	128.14	0.1245	300.11	-1000000	-1000000	-1000000	-1000000	
2.340	0.03563	127.66	0.1245	300.13	-1000000	-1000000	-1000000	-1000000	
2.360	0.03563	126.73	0.1245	300.14	-1000000	-1000000	-1000000	-1000000	
2.380	0.03564	125.59	0.1244	300.13	-1000000	-1000000	-1000000	-1000000	
2.400	0.03569	124.18	0.1243	300.11	-1000000	-1000000	-1000000	-1000000	
2.420	0.03575	122.16	0.1243	300.11	-1000000	-1000000	-1000000	-1000000	
2.440	0.03583	119.18	0.1243	300.13	-1000000	-1000000	-1000000	-1000000	
2.460	0.03595	114.80	0.1245	300.13	-1000000	-1000000	-1000000	-1000000	
2.480	0.03619	108.19	0.1248	300.12	-1000000	-1000000	-1000000	-1000000	
2.500	0.03653	96.05	0.1249	300.11	-1000000	-1000000	-1000000	-1000000	
2.520	0.03700	74.85	0.1252	300.11	-1000000	-1000000	-1000000	-1000000	
2.540	0.03760	43.97	0.1257	300.14	-1000000	-1000000	-1000000	-1000000	
2.560	0.03829	6.913	0.1264	300.14	-1000000	-1000000	-1000000	-1000000	
2.580	0.03913	-30.47	0.1275	300.12	-1000000	-1000000	-1000000	-1000000	
2.600	0.04002	-63.01	0.1292	300.11	-1000000	-1000000	-1000000	-1000000	
2.620	0.04094	-85.20	0.1316	300.12	-1000000	-1000000	-1000000	-1000000	
2.640	0.04185	-95.55	0.1344	300.14	-1000000	-1000000	-1000000	-1000000	
2.660	0.04270	-96.99	0.1375	300.14	-1000000	-1000000	-1000000	-1000000	
2.680	0.04352	-94.44	0.1408	300.12	-1000000	-1000000	-1000000	-1000000	
