Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
0	0.04415	122.03	0.8550	300.12	-1000000	-1000000	-1000000	-1000000	
0.02000	0.04416	122.98	0.8550	300.16	-1000000	-1000000	-1000000	-1000000	
0.04000	0.04416	123.65	0.8550	300.16	-1000000	-1000000	-1000000	-1000000	
0.06000	0.04420	123.52	0.8550	300.10	-1000000	-1000000	-1000000	-1000000	
0.08000	0.04420	122.78	0.8550	300.09	-1000000	-1000000	-1000000	-1000000	
0.1000	0.04423	122.08	0.8552	300.14	-1000000	-1000000	-1000000	-1000000	
0.1200	0.04427	121.86	0.8555	300.17	-1000000	-1000000	-1000000	-1000000	
0.1400	0.04428	121.75	0.8556	300.14	-1000000	-1000000	-1000000	-1000000	
0.1600	0.04426	121.66	0.8557	300.08	-1000000	-1000000	-1000000	-1000000	
0.1800	0.04423	121.68	0.8557	300.10	-1000000	-1000000	-1000000	-1000000	
0.2000	0.04424	121.68	0.8557	300.16	-1000000	-1000000	-1000000	-1000000	
0.2200	0.04428	121.80	0.8557	300.17	-1000000	-1000000	-1000000	-1000000	
0.2400	0.04427	121.99	0.8558	300.11	-1000000	-1000000	-1000000	-1000000	
0.2600	0.04433	122.10	0.8557	300.08	-1000000	-1000000	-1000000	-1000000	
0.2800	0.04433	121.95	0.8557	300.13	-1000000	-1000000	-1000000	-1000000	
0.3000	0.04429	121.94	0.8556	300.17	-1000000	-1000000	-1000000	-1000000	
0.3200	0.04433	121.81	0.8556	300.16	-1000000	-1000000	-1000000	-1000000	
0.3400	0.04435	121.76	0.8558	300.10	-1000000	-1000000	-1000000	-1000000	
0.3600	0.04436	121.89	0.8562	300.09	-1000000	-1000000	-1000000	-1000000	
0.3800	0.04438	122.01	0.8564	300.14	-1000000	-1000000	-1000000	-1000000	
0.4000	0.04438	121.95	0.8564	300.17	-1000000	-1000000	-1000000	-1000000	
0.4200	0.04442	121.95	0.8565	300.13	-1000000	-1000000	-1000000	-1000000	
0.4400	0.04444	122.05	0.8565	300.09	-1000000	-1000000	-1000000	-1000000	
0.4600	0.04444	122.11	0.8564	300.11	-1000000	-1000000	-1000000	-1000000	
0.4800	0.04445	121.92	0.8563	300.16	-1000000	-1000000	-1000000	-1000000	
0.5000	0.04447	121.80	0.8563	300.17	-1000000	-1000000	-1000000	-1000000	
0.5200	0.04449	121.84	0.8563	300.12	-1000000	-1000000	-1000000	-1000000	
0.5400	0.04452	121.94	0.8563	300.08	-1000000	-1000000	-1000000	-1000000	
0.5600	0.04451	121.85	0.8562	300.12	-1000000	-1000000	-1000000	-1000000	
0.5800	0.04453	121.70	0.8564	300.17	-1000000	-1000000	-1000000	-1000000	
0.6000	0.04456	121.58	0.8569	300.16	-1000000	-1000000	-1000000	-1000000	
0.6200	0.04457	121.60	0.8571	300.10	-1000000	-1000000	-1000000	-1000000	
0.6400	0.04457	121.80	0.8572	300.09	-1000000	-1000000	-1000000	-1000000	
0.6600	0.04454	121.87	0.8571	300.14	-1000000	-1000000	-1000000	-1000000	
0.6800	0.04453	121.83	0.8571	300.17	-1000000	-1000000	-1000000	-1000000	
0.7000	0.04457	121.77	0.8571	300.13	-1000000	-1000000	-1000000	-1000000	
0.7200	0.04459	121.73	0.8570	300.08	-1000000	-1000000	-1000000	-1000000	
0.7400	0.04460	121.73	0.8569	300.11	-1000000	-1000000	-1000000	-1000000	
0.7600	0.04462	121.80	0.8569	300.16	-1000000	-1000000	-1000000	-1000000	
0.7800	0.04464	121.73	0.8570	300.17	-1000000	-1000000	-1000000	-1000000	
0.8000	0.04463	121.90	0.8570	300.11	-1000000	-1000000	-1000000	-1000000	
0.8200	0.04464	121.97	0.8572	300.08	-1000000	-1000000	-1000000	-1000000	
0.8400	0.04467	121.88	0.8575	300.13	-1000000	-1000000	-1000000	-1000000	
0.8600	0.04466	121.92	0.8577	300.17	-1000000	-1000000	-1000000	-1000000	
0.8800	0.04462	121.93	0.8577	300.15	-1000000	-1000000	-1000000	-1000000	
0.9000	0.04467	121.82	0.8577	300.09	-1000000	-1000000	-1000000	-1000000	
0.9200	0.04477	121.72	0.8577	300.09	-1000000	-1000000	-1000000	-1000000	
0.9400	0.04479	121.68	0.8576	300.15	-1000000	-1000000	-1000000	-1000000	
0.9600	0.04480	121.66	0.8577	300.18	-1000000	-1000000	-1000000	-1000000	
0.9800	0.04482	121.62	0.8576	300.13	-1000000	-1000000	-1000000	-1000000	
1.000	0.04483	121.82	0.8576	300.09	-1000000	-1000000	-1000000	-1000000	
1.020	0.04480	121.93	0.8577	300.11	-1000000	-1000000	-1000000	-1000000	
1.040	0.04478	121.82	0.8578	300.16	-1000000	-1000000	-1000000	-1000000	
1.060	0.04482	121.83	0.8579	300.17	-1000000	-1000000	-1000000	-1000000	
1.080	0.04484	121.83	0.8583	300.11	-1000000	-1000000	-1000000	-1000000	
1.100	0.04482	121.94	0.8585	300.08	-1000000	-1000000	-1000000	-1000000	
1.120	0.04485	122.09	0.8584	300.13	-1000000	-1000000	-1000000	-1000000	
1.140	0.04487	121.99	0.8583	300.16	-1000000	-1000000	-1000000	-1000000	
1.160	0.04489	121.73	0.8583	300.14	-1000000	-1000000	-1000000	-1000000	
1.180	0.04489	121.70	0.8583	300.09	-1000000	-1000000	-1000000	-1000000	
1.200	0.04488	121.82	0.8584	300.10	-1000000	-1000000	-1000000	-1000000	
1.220	0.04489	121.79	0.8584	300.15	-1000000	-1000000	-1000000	-1000000	
1.240	0.04492	121.79	0.8584	300.17	-1000000	-1000000	-1000000	-1000000	
1.260	0.04495	121.85	0.8584	300.12	-1000000	-1000000	-1000000	-1000000	
1.280	0.04496	121.98	0.8584	300.08	-1000000	-1000000	-1000000	-1000000	
1.300	0.04498	122.14	0.8585	300.11	-1000000	-1000000	-1000000	-1000000	
1.320	0.04500	122.08	0.8588	300.16	-1000000	-1000000	-1000000	-1000000	
1.340	0.04505	121.88	0.8590	300.17	-1000000	-1000000	-1000000	-1000000	
1.360	0.04503	121.93	0.8590	300.11	-1000000	-1000000	-1000000	-1000000	
1.380	0.04503	121.90	0.8590	300.09	-1000000	-1000000	-1000000	-1000000	
1.400	0.04507	121.65	0.8591	300.13	-1000000	-1000000	-1000000	-1000000	
1.420	0.04506	121.63	0.8591	300.17	-1000000	-1000000	-1000000	-1000000	
1.440	0.04505	121.94	0.8590	300.14	-1000000	-1000000	-1000000	-1000000	
1.460	0.04505	121.95	0.8589	300.09	-1000000	-1000000	-1000000	-1000000	
1.480	0.04508	121.62	0.8589	300.10	-1000000	-1000000	-1000000	-1000000	
1.500	0.04510	121.57	0.8590	300.15	-1000000	-1000000	-1000000	-1000000	
1.520	0.04508	121.69	0.8590	300.16	-1000000	-1000000	-1000000	-1000000	
1.540	0.04507	121.79	0.8590	300.11	-1000000	-1000000	-1000000	-1000000	
1.560	0.04510	121.88	0.8592	300.08	-1000000	-1000000	-1000000	-1000000	
1.580	0.04518	121.98	0.8595	300.12	-1000000	-1000000	-1000000	-1000000	
1.600	0.04520	122.06	0.8598	300.17	-1000000	-1000000	-1000000	-1000000	
1.620	0.04519	122.03	0.8598	300.16	-1000000	-1000000	-1000000	-1000000	
1.640	0.04518	121.83	0.8597	300.10	-1000000	-1000000	-1000000	-1000000	
1.660	0.04516	121.82	0.8597	300.09	-1000000	-1000000	-1000000	-1000000	
1.680	0.04520	121.81	0.8597	300.14	-1000000	-1000000	-1000000	-1000000	
1.700	0.04524	121.77	0.8597	300.17	-1000000	-1000000	-1000000	-1000000	
1.720	0.04524	121.82	0.8597	300.14	-1000000	-1000000	-1000000	-1000000	
1.740	0.04524	121.90	0.8597	300.09	-1000000	-1000000	-1000000	-1000000	
1.760	0.04529	121.81	0.8597	300.10	-1000000	-1000000	-1000000	-1000000	
1.780	0.04529	121.81	0.8597	300.15	-1000000	-1000000	-1000000	-1000000	
1.800	0.04528	121.98	0.8600	300.17	-1000000	-1000000	-1000000	-1000000	
1.820	0.04529	122.19	0.8602	300.12	-1000000	-1000000	-1000000	-1000000	
1.840	0.04532	122.75	0.8603	300.08	-1000000	-1000000	-1000000	-1000000	
1.860	0.04529	123.23	0.8603	300.12	-1000000	-1000000	-1000000	-1000000	
1.880	0.04528	123.38	0.8604	300.17	-1000000	-1000000	-1000000	-1000000	
1.900	0.04535	123.41	0.8604	300.15	-1000000	-1000000	-1000000	-1000000	
1.920	0.04539	123.42	0.8604	300.10	-1000000	-1000000	-1000000	-1000000	
1.940	0.04540	123.52	0.8604	300.09	-1000000	-1000000	-1000000	-1000000	
1.960	0.04542	123.50	0.8604	300.14	-1000000	-1000000	-1000000	-1000000	
1.980	0.04544	122.85	0.8605	300.17	-1000000	-1000000	-1000000	-1000000	
2.000	0.04549	122.10	0.8605	300.13	-1000000	-1000000	-1000000	-1000000	
2.020	0.04551	121.81	0.8605	300.09	-1000000	-1000000	-1000000	-1000000	
2.040	0.04547	121.66	0.8604	300.12	-1000000	-1000000	-1000000	-1000000	
2.060	0.04545	121.81	0.8605	300.17	-1000000	-1000000	-1000000	-1000000	
2.080	0.04548	122.11	0.8607	300.17	-1000000	-1000000	-1000000	-1000000	
