Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
1.400	0.04827	123.56	0.8300	300.09	-1000000	-1000000	-1000000	-1000000	
1.420	0.04831	123.59	0.8300	300.13	-1000000	-1000000	-1000000	-1000000	
1.440	0.04835	123.56	0.8301	300.17	-1000000	-1000000	-1000000	-1000000	
1.460	0.04839	123.55	0.8301	300.15	-1000000	-1000000	-1000000	-1000000	
1.480	0.04846	123.52	0.8300	300.09	-1000000	-1000000	-1000000	-1000000	
1.500	0.04851	123.24	0.8303	300.10	-1000000	-1000000	-1000000	-1000000	
1.520	0.04851	122.64	0.8306	300.15	-1000000	-1000000	-1000000	-1000000	
1.540	0.04851	122.76	0.8307	300.17	-1000000	-1000000	-1000000	-1000000	
1.560	0.04850	123.18	0.8308	300.13	-1000000	-1000000	-1000000	-1000000	
1.580	0.04851	123.47	0.8307	300.09	-1000000	-1000000	-1000000	-1000000	
1.600	0.04853	123.46	0.8307	300.14	-1000000	-1000000	-1000000	-1000000	
1.620	0.04853	123.45	0.8307	300.18	-1000000	-1000000	-1000000	-1000000	
1.640	0.04857	123.48	0.8307	300.18	-1000000	-1000000	-1000000	-1000000	
1.660	0.04861	123.48	0.8307	300.13	-1000000	-1000000	-1000000	-1000000	
1.680	0.04858	123.48	0.8309	300.08	-1000000	-1000000	-1000000	-1000000	
1.700	0.04859	123.49	0.8313	300.11	-1000000	-1000000	-1000000	-1000000	
1.720	0.04864	123.51	0.8314	300.16	-1000000	-1000000	-1000000	-1000000	
1.740	0.04861	123.57	0.8314	300.17	-1000000	-1000000	-1000000	-1000000	
1.760	0.04861	123.45	0.8313	300.11	-1000000	-1000000	-1000000	-1000000	
1.780	0.04865	123.38	0.8313	300.09	-1000000	-1000000	-1000000	-1000000	
1.800	0.04871	123.37	0.8314	300.13	-1000000	-1000000	-1000000	-1000000	
1.820	0.04878	123.31	0.8314	300.17	-1000000	-1000000	-1000000	-1000000	
