Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
1.360	-0.07950	133.14	0.8248	300.15	-1000000	-1000000	-1000000	-1000000	
1.380	-0.07949	132.98	0.8248	300.12	-1000000	-1000000	-1000000	-1000000	
1.400	-0.07948	132.90	0.8248	300.12	-1000000	-1000000	-1000000	-1000000	
1.420	-0.07951	133.02	0.8250	300.14	-1000000	-1000000	-1000000	-1000000	
1.440	-0.07950	133.16	0.8252	300.15	-1000000	-1000000	-1000000	-1000000	
1.460	-0.07940	133.13	0.8254	300.14	-1000000	-1000000	-1000000	-1000000	
1.480	-0.07931	132.97	0.8255	300.12	-1000000	-1000000	-1000000	-1000000	
1.500	-0.07934	132.87	0.8256	300.12	-1000000	-1000000	-1000000	-1000000	
1.520	-0.07937	132.86	0.8256	300.14	-1000000	-1000000	-1000000	-1000000	
1.540	-0.07936	132.89	0.8256	300.15	-1000000	-1000000	-1000000	-1000000	
1.560	-0.07937	132.94	0.8255	300.13	-1000000	-1000000	-1000000	-1000000	
1.580	-0.07935	133.02	0.8255	300.12	-1000000	-1000000	-1000000	-1000000	
1.600	-0.07935	133.03	0.8255	300.13	-1000000	-1000000	-1000000	-1000000	
1.620	-0.07934	132.96	0.8255	300.15	-1000000	-1000000	-1000000	-1000000	
1.640	-0.07926	132.95	0.8255	300.15	-1000000	-1000000	-1000000	-1000000	
1.660	-0.07922	133.10	0.8255	300.13	-1000000	-1000000	-1000000	-1000000	
1.680	-0.07926	133.18	0.8255	300.12	-1000000	-1000000	-1000000	-1000000	
1.700	-0.07926	133.16	0.8256	300.13	-1000000	-1000000	-1000000	-1000000	
1.720	-0.07924	132.96	0.8256	300.15	-1000000	-1000000	-1000000	-1000000	
1.740	-0.07925	133.00	0.8258	300.14	-1000000	-1000000	-1000000	-1000000	
1.760	-0.07924	133.09	0.8261	300.12	-1000000	-1000000	-1000000	-1000000	
1.780	-0.07926	133.01	0.8262	300.12	-1000000	-1000000	-1000000	-1000000	
1.800	-0.07923	132.96	0.8262	300.14	-1000000	-1000000	-1000000	-1000000	
1.820	-0.07917	133.09	0.8261	300.15	-1000000	-1000000	-1000000	-1000000	
1.840	-0.07914	133.17	0.8261	300.13	-1000000	-1000000	-1000000	-1000000	
1.860	-0.07916	133.00	0.8262	300.12	-1000000	-1000000	-1000000	-1000000	
1.880	-0.07921	132.92	0.8262	300.15	-1000000	-1000000	-1000000	-1000000	
1.900	-0.07921	132.93	0.8262	300.16	-1000000	-1000000	-1000000	-1000000	
1.920	-0.07920	132.97	0.8262	300.15	-1000000	-1000000	-1000000	-1000000	
1.940	-0.07921	133.06	0.8262	300.13	-1000000	-1000000	-1000000	-1000000	
1.960	-0.07919	133.09	0.8262	300.11	-1000000	-1000000	-1000000	-1000000	
1.980	-0.07912	133.07	0.8261	300.13	-1000000	-1000000	-1000000	-1000000	
2.000	-0.07903	133.07	0.8261	300.15	-1000000	-1000000	-1000000	-1000000	
2.020	-0.07901	133.22	0.8261	300.15	-1000000	-1000000	-1000000	-1000000	
2.040	-0.07905	134.00	0.8261	300.12	-1000000	-1000000	-1000000	-1000000	
2.060	-0.07903	134.56	0.8262	300.12	-1000000	-1000000	-1000000	-1000000	
2.080	-0.07902	134.63	0.8264	300.14	-1000000	-1000000	-1000000	-1000000	
2.100	-0.07907	134.66	0.8267	300.15	-1000000	-1000000	-1000000	-1000000	
2.120	-0.07910	134.73	0.8268	300.14	-1000000	-1000000	-1000000	-1000000	
2.140	-0.07904	134.08	0.8269	300.12	-1000000	-1000000	-1000000	-1000000	
2.160	-0.07901	133.46	0.8268	300.12	-1000000	-1000000	-1000000	-1000000	
2.180	-0.07898	133.11	0.8268	300.14	-1000000	-1000000	-1000000	-1000000	
2.200	-0.07899	133.04	0.8268	300.15	-1000000	-1000000	-1000000	-1000000	
2.220	-0.07901	133.04	0.8268	300.13	-1000000	-1000000	-1000000	-1000000	
2.240	-0.07903	133.00	0.8268	300.12	-1000000	-1000000	-1000000	-1000000	
2.260	-0.07900	133.00	0.8268	300.13	-1000000	-1000000	-1000000	-1000000	
2.280	-0.07899	133.03	0.8268	300.15	-1000000	-1000000	-1000000	-1000000	
2.300	-0.07902	133.07	0.8268	300.14	-1000000	-1000000	-1000000	-1000000	
2.320	-0.07900	132.85	0.8268	300.12	-1000000	-1000000	-1000000	-1000000	
2.340	-0.07894	132.79	0.8268	300.12	-1000000	-1000000	-1000000	-1000000	
2.360	-0.07888	132.84	0.8268	300.14	-1000000	-1000000	-1000000	-1000000	
2.380	-0.07887	132.86	0.8268	300.15	-1000000	-1000000	-1000000	-1000000	
2.400	-0.07887	133.02	0.8271	300.14	-1000000	-1000000	-1000000	-1000000	
2.420	-0.07892	133.01	0.8273	300.12	-1000000	-1000000	-1000000	-1000000	
2.440	-0.07897	132.87	0.8274	300.12	-1000000	-1000000	-1000000	-1000000	
2.460	-0.07893	132.92	0.8274	300.15	-1000000	-1000000	-1000000	-1000000	
2.480	-0.07886	132.98	0.8274	300.15	-1000000	-1000000	-1000000	-1000000	
2.500	-0.07878	133.07	0.8275	300.13	-1000000	-1000000	-1000000	-1000000	
2.520	-0.07879	133.19	0.8275	300.11	-1000000	-1000000	-1000000	-1000000	
2.540	-0.07881	133.19	0.8276	300.13	-1000000	-1000000	-1000000	-1000000	
2.560	-0.07880	133.11	0.8275	300.15	-1000000	-1000000	-1000000	-1000000	
2.580	-0.07880	132.97	0.8274	300.14	-1000000	-1000000	-1000000	-1000000	
2.600	-0.07878	132.87	0.8274	300.12	-1000000	-1000000	-1000000	-1000000	
2.620	-0.07879	133.01	0.8275	300.11	-1000000	-1000000	-1000000	-1000000	
2.640	-0.07878	133.08	0.8275	300.13	-1000000	-1000000	-1000000	-1000000	
2.660	-0.07876	133.00	0.8275	300.15	-1000000	-1000000	-1000000	-1000000	
2.680	-0.07873	132.94	0.8275	300.13	-1000000	-1000000	-1000000	-1000000	
2.700	-0.07872	132.92	0.8274	300.11	-1000000	-1000000	-1000000	-1000000	
2.720	-0.07872	133.03	0.8274	300.12	-1000000	-1000000	-1000000	-1000000	
2.740	-0.07874	132.97	0.8276	300.14	-1000000	-1000000	-1000000	-1000000	
2.760	-0.07874	132.61	0.8279	300.15	-1000000	-1000000	-1000000	-1000000	
2.780	-0.07870	132.63	0.8281	300.13	-1000000	-1000000	-1000000	-1000000	
2.800	-0.07871	132.87	0.8282	300.12	-1000000	-1000000	-1000000	-1000000	
2.820	-0.07870	132.87	0.8282	300.14	-1000000	-1000000	-1000000	-1000000	
2.840	-0.07868	132.89	0.8282	300.15	-1000000	-1000000	-1000000	-1000000	
2.860	-0.07867	132.97	0.8282	300.15	-1000000	-1000000	-1000000	-1000000	
2.880	-0.07865	133.03	0.8281	300.12	-1000000	-1000000	-1000000	-1000000	
2.900	-0.07866	133.13	0.8281	300.12	-1000000	-1000000	-1000000	-1000000	
2.920	-0.07865	133.07	0.8281	300.14	-1000000	-1000000	-1000000	-1000000	
2.940	-0.07864	133.12	0.8281	300.15	-1000000	-1000000	-1000000	-1000000	
2.960	-0.07865	133.22	0.8281	300.14	-1000000	-1000000	-1000000	-1000000	
2.980	-0.07866	133.23	0.8281	300.12	-1000000	-1000000	-1000000	-1000000	
3.000	-0.07867	133.20	0.8281	300.13	-1000000	-1000000	-1000000	-1000000	
3.020	-0.07863	133.16	0.8281	300.15	-1000000	-1000000	-1000000	-1000000	
3.040	-0.07859	133.12	0.8281	300.15	-1000000	-1000000	-1000000	-1000000	
3.060	-0.07858	132.95	0.8282	300.13	-1000000	-1000000	-1000000	-1000000	
3.080	-0.07860	133.02	0.8285	300.12	-1000000	-1000000	-1000000	-1000000	
3.100	-0.07858	133.17	0.8288	300.13	-1000000	-1000000	-1000000	-1000000	
3.120	-0.07856	132.96	0.8289	300.15	-1000000	-1000000	-1000000	-1000000	
3.140	-0.07853	132.05	0.8289	300.14	-1000000	-1000000	-1000000	-1000000	
3.160	-0.07850	131.40	0.8289	300.12	-1000000	-1000000	-1000000	-1000000	
3.180	-0.07848	130.80	0.8289	300.12	-1000000	-1000000	-1000000	-1000000	
3.200	-0.07843	129.97	0.8290	300.14	-1000000	-1000000	-1000000	-1000000	
3.220	-0.07840	129.11	0.8290	300.15	-1000000	-1000000	-1000000	-1000000	
3.240	-0.07837	127.89	0.8289	300.14	-1000000	-1000000	-1000000	-1000000	
