Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
0	-0.03140	131.29	0.7851	300.12	-1000000	-1000000	-1000000	-1000000	
0.02000	-0.03139	131.24	0.7852	300.13	-1000000	-1000000	-1000000	-1000000	
0.04000	-0.03138	131.19	0.7856	300.15	-1000000	-1000000	-1000000	-1000000	
0.06000	-0.03138	131.21	0.7858	300.15	-1000000	-1000000	-1000000	-1000000	
0.08000	-0.03139	131.40	0.7859	300.13	-1000000	-1000000	-1000000	-1000000	
0.1000	-0.03135	131.45	0.7860	300.12	-1000000	-1000000	-1000000	-1000000	
0.1200	-0.03130	131.40	0.7859	300.14	-1000000	-1000000	-1000000	-1000000	
0.1400	-0.03131	131.34	0.7858	300.15	-1000000	-1000000	-1000000	-1000000	
0.1600	-0.03137	131.30	0.7858	300.14	-1000000	-1000000	-1000000	-1000000	
0.1800	-0.03136	131.35	0.7858	300.12	-1000000	-1000000	-1000000	-1000000	
0.2000	-0.03130	131.45	0.7858	300.12	-1000000	-1000000	-1000000	-1000000	
0.2200	-0.03128	131.48	0.7859	300.15	-1000000	-1000000	-1000000	-1000000	
0.2400	-0.03127	131.43	0.7859	300.15	-1000000	-1000000	-1000000	-1000000	
0.2600	-0.03123	131.37	0.7859	300.13	-1000000	-1000000	-1000000	-1000000	
0.2800	-0.03118	131.30	0.7859	300.11	-1000000	-1000000	-1000000	-1000000	
0.3000	-0.03116	131.25	0.7859	300.12	-1000000	-1000000	-1000000	-1000000	
0.3200	-0.03121	131.32	0.7860	300.14	-1000000	-1000000	-1000000	-1000000	
0.3400	-0.03122	131.39	0.7863	300.14	-1000000	-1000000	-1000000	-1000000	
0.3600	-0.03118	131.30	0.7865	300.13	-1000000	-1000000	-1000000	-1000000	
0.3800	-0.03112	130.98	0.7865	300.12	-1000000	-1000000	-1000000	-1000000	
0.4000	-0.03106	130.28	0.7865	300.14	-1000000	-1000000	-1000000	-1000000	
0.4200	-0.03105	130.50	0.7865	300.15	-1000000	-1000000	-1000000	-1000000	
0.4400	-0.03103	131.25	0.7865	300.13	-1000000	-1000000	-1000000	-1000000	
0.4600	-0.03103	131.53	0.7865	300.12	-1000000	-1000000	-1000000	-1000000	
0.4800	-0.03105	131.38	0.7865	300.12	-1000000	-1000000	-1000000	-1000000	
0.5000	-0.03105	131.60	0.7866	300.14	-1000000	-1000000	-1000000	-1000000	
0.5200	-0.03103	131.68	0.7866	300.14	-1000000	-1000000	-1000000	-1000000	
0.5400	-0.03098	131.56	0.7865	300.12	-1000000	-1000000	-1000000	-1000000	
0.5600	-0.03095	131.47	0.7865	300.11	-1000000	-1000000	-1000000	-1000000	
0.5800	-0.03094	131.70	0.7867	300.13	-1000000	-1000000	-1000000	-1000000	
0.6000	-0.03094	132.40	0.7870	300.15	-1000000	-1000000	-1000000	-1000000	
0.6200	-0.03094	132.71	0.7872	300.14	-1000000	-1000000	-1000000	-1000000	
0.6400	-0.03094	132.29	0.7873	300.12	-1000000	-1000000	-1000000	-1000000	
0.6600	-0.03095	131.82	0.7873	300.12	-1000000	-1000000	-1000000	-1000000	
0.6800	-0.03095	131.50	0.7872	300.14	-1000000	-1000000	-1000000	-1000000	
0.7000	-0.03090	131.42	0.7873	300.15	-1000000	-1000000	-1000000	-1000000	
0.7200	-0.03088	131.53	0.7872	300.13	-1000000	-1000000	-1000000	-1000000	
0.7400	-0.03087	131.51	0.7872	300.11	-1000000	-1000000	-1000000	-1000000	
0.7600	-0.03085	131.41	0.7871	300.12	-1000000	-1000000	-1000000	-1000000	
0.7800	-0.03084	131.38	0.7871	300.14	-1000000	-1000000	-1000000	-1000000	
0.8000	-0.03082	131.46	0.7871	300.15	-1000000	-1000000	-1000000	-1000000	
0.8200	-0.03079	131.54	0.7871	300.13	-1000000	-1000000	-1000000	-1000000	
0.8400	-0.03081	131.54	0.7871	300.12	-1000000	-1000000	-1000000	-1000000	
0.8600	-0.03083	131.55	0.7872	300.13	-1000000	-1000000	-1000000	-1000000	
0.8800	-0.03078	131.57	0.7873	300.15	-1000000	-1000000	-1000000	-1000000	
0.9000	-0.03071	131.52	0.7877	300.14	-1000000	-1000000	-1000000	-1000000	
0.9200	-0.03071	131.40	0.7879	300.12	-1000000	-1000000	-1000000	-1000000	
0.9400	-0.03075	131.42	0.7879	300.12	-1000000	-1000000	-1000000	-1000000	
0.9600	-0.03075	131.39	0.7879	300.14	-1000000	-1000000	-1000000	-1000000	
0.9800	-0.03076	131.35	0.7879	300.15	-1000000	-1000000	-1000000	-1000000	
1.000	-0.03074	131.42	0.7879	300.13	-1000000	-1000000	-1000000	-1000000	
1.020	-0.03066	131.38	0.7879	300.12	-1000000	-1000000	-1000000	-1000000	
1.040	-0.03062	131.27	0.7879	300.13	-1000000	-1000000	-1000000	-1000000	
1.060	-0.03060	131.28	0.7879	300.15	-1000000	-1000000	-1000000	-1000000	
1.080	-0.03061	131.43	0.7879	300.15	-1000000	-1000000	-1000000	-1000000	
1.100	-0.03062	131.55	0.7879	300.13	-1000000	-1000000	-1000000	-1000000	
1.120	-0.03062	131.43	0.7879	300.12	-1000000	-1000000	-1000000	-1000000	
1.140	-0.03061	131.36	0.7879	300.14	-1000000	-1000000	-1000000	-1000000	
1.160	-0.03059	131.32	0.7879	300.15	-1000000	-1000000	-1000000	-1000000	
1.180	-0.03060	131.32	0.7879	300.14	-1000000	-1000000	-1000000	-1000000	
1.200	-0.03063	131.28	0.7882	300.12	-1000000	-1000000	-1000000	-1000000	
1.220	-0.03061	131.24	0.7885	300.12	-1000000	-1000000	-1000000	-1000000	
1.240	-0.03056	131.16	0.7886	300.14	-1000000	-1000000	-1000000	-1000000	
1.260	-0.03051	131.20	0.7886	300.15	-1000000	-1000000	-1000000	-1000000	
1.280	-0.03047	131.33	0.7886	300.14	-1000000	-1000000	-1000000	-1000000	
1.300	-0.03049	131.39	0.7885	300.12	-1000000	-1000000	-1000000	-1000000	
1.320	-0.03050	131.36	0.7885	300.12	-1000000	-1000000	-1000000	-1000000	
1.340	-0.03048	131.26	0.7884	300.14	-1000000	-1000000	-1000000	-1000000	
1.360	-0.03046	131.23	0.7884	300.14	-1000000	-1000000	-1000000	-1000000	
1.380	-0.03046	131.45	0.7885	300.12	-1000000	-1000000	-1000000	-1000000	
1.400	-0.03045	131.51	0.7886	300.11	-1000000	-1000000	-1000000	-1000000	
1.420	-0.03043	131.38	0.7885	300.13	-1000000	-1000000	-1000000	-1000000	
1.440	-0.03039	131.20	0.7885	300.15	-1000000	-1000000	-1000000	-1000000	
1.460	-0.03039	131.31	0.7887	300.14	-1000000	-1000000	-1000000	-1000000	
1.480	-0.03042	131.48	0.7891	300.12	-1000000	-1000000	-1000000	-1000000	
1.500	-0.03043	131.40	0.7893	300.12	-1000000	-1000000	-1000000	-1000000	
1.520	-0.03044	131.27	0.7893	300.14	-1000000	-1000000	-1000000	-1000000	
1.540	-0.03040	131.34	0.7893	300.15	-1000000	-1000000	-1000000	-1000000	
1.560	-0.03033	131.48	0.7893	300.13	-1000000	-1000000	-1000000	-1000000	
1.580	-0.03025	131.65	0.7892	300.11	-1000000	-1000000	-1000000	-1000000	
1.600	-0.03022	131.67	0.7892	300.12	-1000000	-1000000	-1000000	-1000000	
1.620	-0.03024	131.48	0.7891	300.14	-1000000	-1000000	-1000000	-1000000	
1.640	-0.03026	131.25	0.7891	300.14	-1000000	-1000000	-1000000	-1000000	
1.660	-0.03025	131.24	0.7892	300.12	-1000000	-1000000	-1000000	-1000000	
1.680	-0.03026	131.45	0.7893	300.12	-1000000	-1000000	-1000000	-1000000	
1.700	-0.03024	131.57	0.7893	300.13	-1000000	-1000000	-1000000	-1000000	
1.720	-0.03022	131.53	0.7893	300.15	-1000000	-1000000	-1000000	-1000000	
1.740	-0.03017	131.57	0.7892	300.14	-1000000	-1000000	-1000000	-1000000	
1.760	-0.03013	131.44	0.7894	300.12	-1000000	-1000000	-1000000	-1000000	
1.780	-0.03012	131.43	0.7897	300.12	-1000000	-1000000	-1000000	-1000000	
1.800	-0.03017	131.57	0.7899	300.14	-1000000	-1000000	-1000000	-1000000	
1.820	-0.03020	131.73	0.7900	300.15	-1000000	-1000000	-1000000	-1000000	
1.840	-0.03020	131.69	0.7900	300.13	-1000000	-1000000	-1000000	-1000000	
1.860	-0.03020	131.53	0.7900	300.12	-1000000	-1000000	-1000000	-1000000	
1.880	-0.03017	131.44	0.7899	300.12	-1000000	-1000000	-1000000	-1000000	
