Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
0	-0.05359	129.31	0.7012	300.14	-1000000	-1000000	-1000000	-1000000	
0.02000	-0.05355	129.32	0.7012	300.13	-1000000	-1000000	-1000000	-1000000	
0.04000	-0.05352	129.18	0.7012	300.11	-1000000	-1000000	-1000000	-1000000	
0.06000	-0.05357	128.80	0.7012	300.11	-1000000	-1000000	-1000000	-1000000	
0.08000	-0.05357	128.04	0.7012	300.14	-1000000	-1000000	-1000000	-1000000	
0.1000	-0.05357	127.51	0.7011	300.14	-1000000	-1000000	-1000000	-1000000	
0.1200	-0.05353	127.37	0.7012	300.12	-1000000	-1000000	-1000000	-1000000	
0.1400	-0.05349	127.49	0.7012	300.11	-1000000	-1000000	-1000000	-1000000	
0.1600	-0.05354	127.43	0.7011	300.12	-1000000	-1000000	-1000000	-1000000	
0.1800	-0.05360	127.18	0.7012	300.14	-1000000	-1000000	-1000000	-1000000	
0.2000	-0.05363	127.19	0.7012	300.13	-1000000	-1000000	-1000000	-1000000	
0.2200	-0.05362	127.40	0.7012	300.11	-1000000	-1000000	-1000000	-1000000	
0.2400	-0.05361	127.39	0.7013	300.11	-1000000	-1000000	-1000000	-1000000	
0.2600	-0.05362	127.35	0.7013	300.13	-1000000	-1000000	-1000000	-1000000	
0.2800	-0.05361	127.44	0.7013	300.14	-1000000	-1000000	-1000000	-1000000	
0.3000	-0.05359	127.34	0.7013	300.13	-1000000	-1000000	-1000000	-1000000	
0.3200	-0.05358	127.24	0.7013	300.11	-1000000	-1000000	-1000000	-1000000	
0.3400	-0.05360	127.36	0.7013	300.13	-1000000	-1000000	-1000000	-1000000	
0.3600	-0.05361	127.54	0.7014	300.14	-1000000	-1000000	-1000000	-1000000	
0.3800	-0.05358	127.56	0.7013	300.13	-1000000	-1000000	-1000000	-1000000	
0.4000	-0.05356	127.55	0.7012	300.11	-1000000	-1000000	-1000000	-1000000	
0.4200	-0.05355	127.50	0.7013	300.11	-1000000	-1000000	-1000000	-1000000	
0.4400	-0.05355	127.50	0.7014	300.13	-1000000	-1000000	-1000000	-1000000	
0.4600	-0.05353	127.54	0.7015	300.14	-1000000	-1000000	-1000000	-1000000	
0.4800	-0.05351	127.46	0.7014	300.13	-1000000	-1000000	-1000000	-1000000	
0.5000	-0.05348	127.29	0.7013	300.11	-1000000	-1000000	-1000000	-1000000	
0.5200	-0.05348	127.25	0.7013	300.12	-1000000	-1000000	-1000000	-1000000	
0.5400	-0.05349	127.29	0.7013	300.14	-1000000	-1000000	-1000000	-1000000	
0.5600	-0.05351	127.39	0.7013	300.13	-1000000	-1000000	-1000000	-1000000	
0.5800	-0.05350	127.45	0.7013	300.11	-1000000	-1000000	-1000000	-1000000	
0.6000	-0.05346	128.04	0.7013	300.11	-1000000	-1000000	-1000000	-1000000	
0.6200	-0.05347	128.75	0.7013	300.12	-1000000	-1000000	-1000000	-1000000	
0.6400	-0.05352	128.97	0.7013	300.14	-1000000	-1000000	-1000000	-1000000	
0.6600	-0.05353	128.93	0.7013	300.12	-1000000	-1000000	-1000000	-1000000	
0.6800	-0.05347	128.89	0.7013	300.11	-1000000	-1000000	-1000000	-1000000	
0.7000	-0.05343	128.92	0.7013	300.12	-1000000	-1000000	-1000000	-1000000	
0.7200	-0.05343	129.04	0.7013	300.14	-1000000	-1000000	-1000000	-1000000	
0.7400	-0.05343	129.21	0.7013	300.14	-1000000	-1000000	-1000000	-1000000	
0.7600	-0.05343	129.14	0.7013	300.12	-1000000	-1000000	-1000000	-1000000	
0.7800	-0.05346	128.95	0.7012	300.11	-1000000	-1000000	-1000000	-1000000	
0.8000	-0.05344	128.29	0.7012	300.13	-1000000	-1000000	-1000000	-1000000	
0.8200	-0.05344	127.55	0.7012	300.14	-1000000	-1000000	-1000000	-1000000	
0.8400	-0.05349	127.27	0.7012	300.13	-1000000	-1000000	-1000000	-1000000	
0.8600	-0.05351	127.49	0.7013	300.11	-1000000	-1000000	-1000000	-1000000	
0.8800	-0.05347	127.62	0.7014	300.11	-1000000	-1000000	-1000000	-1000000	
0.9000	-0.05344	127.56	0.7013	300.13	-1000000	-1000000	-1000000	-1000000	
0.9200	-0.05339	127.61	0.7012	300.14	-1000000	-1000000	-1000000	-1000000	
0.9400	-0.05339	127.70	0.7012	300.12	-1000000	-1000000	-1000000	-1000000	
0.9600	-0.05342	127.69	0.7012	300.11	-1000000	-1000000	-1000000	-1000000	
0.9800	-0.05343	127.54	0.7013	300.13	-1000000	-1000000	-1000000	-1000000	
1.000	-0.05340	127.41	0.7013	300.14	-1000000	-1000000	-1000000	-1000000	
1.020	-0.05340	127.42	0.7013	300.14	-1000000	-1000000	-1000000	-1000000	
1.040	-0.05343	127.64	0.7013	300.11	-1000000	-1000000	-1000000	-1000000	
1.060	-0.05344	127.71	0.7016	300.12	-1000000	-1000000	-1000000	-1000000	
1.080	-0.05343	127.55	0.7018	300.13	-1000000	-1000000	-1000000	-1000000	
1.100	-0.05342	127.43	0.7019	300.14	-1000000	-1000000	-1000000	-1000000	
1.120	-0.05339	127.43	0.7019	300.12	-1000000	-1000000	-1000000	-1000000	
1.140	-0.05336	127.39	0.7019	300.11	-1000000	-1000000	-1000000	-1000000	
1.160	-0.05333	127.51	0.7019	300.12	-1000000	-1000000	-1000000	-1000000	
1.180	-0.05332	127.54	0.7019	300.14	-1000000	-1000000	-1000000	-1000000	
1.200	-0.05333	127.53	0.7019	300.13	-1000000	-1000000	-1000000	-1000000	
1.220	-0.05337	127.54	0.7020	300.11	-1000000	-1000000	-1000000	-1000000	
1.240	-0.05341	127.48	0.7019	300.11	-1000000	-1000000	-1000000	-1000000	
1.260	-0.05339	127.41	0.7019	300.13	-1000000	-1000000	-1000000	-1000000	
1.280	-0.05336	127.36	0.7019	300.14	-1000000	-1000000	-1000000	-1000000	
1.300	-0.05333	127.32	0.7020	300.13	-1000000	-1000000	-1000000	-1000000	
1.320	-0.05339	127.35	0.7020	300.11	-1000000	-1000000	-1000000	-1000000	
1.340	-0.05342	127.41	0.7020	300.12	-1000000	-1000000	-1000000	-1000000	
1.360	-0.05340	127.33	0.7020	300.14	-1000000	-1000000	-1000000	-1000000	
1.380	-0.05337	127.23	0.7019	300.13	-1000000	-1000000	-1000000	-1000000	
1.400	-0.05336	127.33	0.7019	300.11	-1000000	-1000000	-1000000	-1000000	
1.420	-0.05336	127.48	0.7019	300.11	-1000000	-1000000	-1000000	-1000000	
1.440	-0.05338	127.85	0.7019	300.13	-1000000	-1000000	-1000000	-1000000	
1.460	-0.05337	128.55	0.7020	300.14	-1000000	-1000000	-1000000	-1000000	
1.480	-0.05331	128.88	0.7021	300.13	-1000000	-1000000	-1000000	-1000000	
1.500	-0.05325	128.86	0.7020	300.11	-1000000	-1000000	-1000000	-1000000	
1.520	-0.05330	128.83	0.7019	300.12	-1000000	-1000000	-1000000	-1000000	
1.540	-0.05336	128.26	0.7019	300.14	-1000000	-1000000	-1000000	-1000000	
1.560	-0.05338	127.57	0.7019	300.14	-1000000	-1000000	-1000000	-1000000	
1.580	-0.05334	127.34	0.7019	300.12	-1000000	-1000000	-1000000	-1000000	
1.600	-0.05332	127.39	0.7020	300.11	-1000000	-1000000	-1000000	-1000000	
1.620	-0.05327	127.57	0.7020	300.13	-1000000	-1000000	-1000000	-1000000	
1.640	-0.05324	127.53	0.7020	300.14	-1000000	-1000000	-1000000	-1000000	
1.660	-0.05329	127.41	0.7020	300.13	-1000000	-1000000	-1000000	-1000000	
1.680	-0.05335	127.42	0.7020	300.11	-1000000	-1000000	-1000000	-1000000	
1.700	-0.05332	127.34	0.7020	300.12	-1000000	-1000000	-1000000	-1000000	
1.720	-0.05329	127.23	0.7020	300.14	-1000000	-1000000	-1000000	-1000000	
1.740	-0.05332	127.32	0.7019	300.13	-1000000	-1000000	-1000000	-1000000	
1.760	-0.05333	127.59	0.7019	300.11	-1000000	-1000000	-1000000	-1000000	
1.780	-0.05334	128.10	0.7019	300.11	-1000000	-1000000	-1000000	-1000000	
1.800	-0.05330	128.69	0.7019	300.13	-1000000	-1000000	-1000000	-1000000	
1.820	-0.05327	128.88	0.7019	300.14	-1000000	-1000000	-1000000	-1000000	
1.840	-0.05328	128.59	0.7018	300.13	-1000000	-1000000	-1000000	-1000000	
1.860	-0.05329	127.82	0.7018	300.11	-1000000	-1000000	-1000000	-1000000	
1.880	-0.05332	127.29	0.7018	300.12	-1000000	-1000000	-1000000	-1000000	
1.900	-0.05336	127.26	0.7019	300.14	-1000000	-1000000	-1000000	-1000000	
1.920	-0.05332	127.41	0.7019	300.14	-1000000	-1000000	-1000000	-1000000	
1.940	-0.05329	127.41	0.7019	300.12	-1000000	-1000000	-1000000	-1000000	
1.960	-0.05330	127.37	0.7020	300.11	-1000000	-1000000	-1000000	-1000000	
1.980	-0.05331	127.34	0.7020	300.13	-1000000	-1000000	-1000000	-1000000	
2.000	-0.05330	127.43	0.7019	300.15	-1000000	-1000000	-1000000	-1000000	
2.020	-0.05328	127.59	0.7019	300.14	-1000000	-1000000	-1000000	-1000000	
2.040	-0.05327	127.53	0.7018	300.12	-1000000	-1000000	-1000000	-1000000	
2.060	-0.05333	127.41	0.7019	300.11	-1000000	-1000000	-1000000	-1000000	
2.080	-0.05337	127.31	0.7020	300.13	-1000000	-1000000	-1000000	-1000000	
2.100	-0.05335	127.23	0.7019	300.14	-1000000	-1000000	-1000000	-1000000	
2.120	-0.05329	127.25	0.7019	300.13	-1000000	-1000000	-1000000	-1000000	
2.140	-0.05320	127.44	0.7018	300.11	-1000000	-1000000	-1000000	-1000000	
2.160	-0.05318	127.45	0.7018	300.12	-1000000	-1000000	-1000000	-1000000	
2.180	-0.05325	127.49	0.7018	300.14	-1000000	-1000000	-1000000	-1000000	
2.200	-0.05328	127.57	0.7019	300.13	-1000000	-1000000	-1000000	-1000000	
2.220	-0.05327	127.54	0.7019	300.11	-1000000	-1000000	-1000000	-1000000	
2.240	-0.05323	127.53	0.7018	300.12	-1000000	-1000000	-1000000	-1000000	
2.260	-0.05321	127.36	0.7019	300.14	-1000000	-1000000	-1000000	-1000000	
2.280	-0.05320	127.37	0.7020	300.14	-1000000	-1000000	-1000000	-1000000	
2.300	-0.05318	127.53	0.7020	300.12	-1000000	-1000000	-1000000	-1000000	
2.320	-0.05319	127.64	0.7020	300.11	-1000000	-1000000	-1000000	-1000000	
2.340	-0.05321	127.64	0.7021	300.12	-1000000	-1000000	-1000000	-1000000	
2.360	-0.05321	127.47	0.7020	300.14	-1000000	-1000000	-1000000	-1000000	
2.380	-0.05323	127.30	0.7021	300.14	-1000000	-1000000	-1000000	-1000000	
2.400	-0.05325	127.24	0.7024	300.12	-1000000	-1000000	-1000000	-1000000	
2.420	-0.05324	127.23	0.7026	300.11	-1000000	-1000000	-1000000	-1000000	
2.440	-0.05320	127.15	0.7027	300.13	-1000000	-1000000	-1000000	-1000000	
2.460	-0.05316	127.15	0.7028	300.14	-1000000	-1000000	-1000000	-1000000	
2.480	-0.05316	127.22	0.7028	300.13	-1000000	-1000000	-1000000	-1000000	
2.500	-0.05321	127.39	0.7027	300.11	-1000000	-1000000	-1000000	-1000000	
2.520	-0.05321	127.46	0.7026	300.12	-1000000	-1000000	-1000000	-1000000	
2.540	-0.05318	127.39	0.7026	300.13	-1000000	-1000000	-1000000	-1000000	
2.560	-0.05316	127.29	0.7027	300.14	-1000000	-1000000	-1000000	-1000000	
2.580	-0.05313	127.28	0.7027	300.12	-1000000	-1000000	-1000000	-1000000	
2.600	-0.05313	127.23	0.7027	300.11	-1000000	-1000000	-1000000	-1000000	
2.620	-0.05318	127.41	0.7027	300.12	-1000000	-1000000	-1000000	-1000000	
2.640	-0.05319	127.63	0.7027	300.14	-1000000	-1000000	-1000000	-1000000	
2.660	-0.05315	127.71	0.7026	300.13	-1000000	-1000000	-1000000	-1000000	
2.680	-0.05313	127.61	0.7026	300.11	-1000000	-1000000	-1000000	-1000000	
2.700	-0.05313	127.75	0.7026	300.12	-1000000	-1000000	-1000000	-1000000	
2.720	-0.05312	128.44	0.7027	300.14	-1000000	-1000000	-1000000	-1000000	
