Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
0	-0.03339	56.84	-0.6753	300.14	-1000000	-1000000	-1000000	-1000000	
0.02000	-0.03341	56.92	-0.6752	300.13	-1000000	-1000000	-1000000	-1000000	
0.04000	-0.03347	56.95	-0.6749	300.11	-1000000	-1000000	-1000000	-1000000	
0.06000	-0.03351	56.62	-0.6747	300.11	-1000000	-1000000	-1000000	-1000000	
0.08000	-0.03350	56.47	-0.6747	300.13	-1000000	-1000000	-1000000	-1000000	
0.1000	-0.03350	56.57	-0.6746	300.14	-1000000	-1000000	-1000000	-1000000	
0.1200	-0.03351	56.82	-0.6746	300.13	-1000000	-1000000	-1000000	-1000000	
0.1400	-0.03347	56.88	-0.6746	300.11	-1000000	-1000000	-1000000	-1000000	
0.1600	-0.03347	56.84	-0.6747	300.12	-1000000	-1000000	-1000000	-1000000	
0.1800	-0.03347	56.71	-0.6748	300.14	-1000000	-1000000	-1000000	-1000000	
0.2000	-0.03347	56.67	-0.6748	300.14	-1000000	-1000000	-1000000	-1000000	
0.2200	-0.03347	56.79	-0.6747	300.12	-1000000	-1000000	-1000000	-1000000	
0.2400	-0.03347	56.87	-0.6746	300.12	-1000000	-1000000	-1000000	-1000000	
0.2600	-0.03349	56.75	-0.6746	300.13	-1000000	-1000000	-1000000	-1000000	
0.2800	-0.03349	56.70	-0.6747	300.14	-1000000	-1000000	-1000000	-1000000	
0.3000	-0.03348	56.66	-0.6748	300.13	-1000000	-1000000	-1000000	-1000000	
0.3200	-0.03349	56.55	-0.6748	300.11	-1000000	-1000000	-1000000	-1000000	
0.3400	-0.03345	56.57	-0.6747	300.12	-1000000	-1000000	-1000000	-1000000	
0.3600	-0.03342	56.85	-0.6747	300.14	-1000000	-1000000	-1000000	-1000000	
0.3800	-0.03345	56.88	-0.6747	300.14	-1000000	-1000000	-1000000	-1000000	
0.4000	-0.03351	56.73	-0.6747	300.12	-1000000	-1000000	-1000000	-1000000	
0.4200	-0.03353	56.68	-0.6747	300.11	-1000000	-1000000	-1000000	-1000000	
0.4400	-0.03349	56.73	-0.6747	300.13	-1000000	-1000000	-1000000	-1000000	
0.4600	-0.03346	56.63	-0.6747	300.14	-1000000	-1000000	-1000000	-1000000	
0.4800	-0.03341	56.49	-0.6746	300.14	-1000000	-1000000	-1000000	-1000000	
0.5000	-0.03335	56.55	-0.6747	300.11	-1000000	-1000000	-1000000	-1000000	
0.5200	-0.03337	56.57	-0.6747	300.11	-1000000	-1000000	-1000000	-1000000	
0.5400	-0.03340	56.61	-0.6747	300.13	-1000000	-1000000	-1000000	-1000000	
0.5600	-0.03343	56.63	-0.6747	300.14	-1000000	-1000000	-1000000	-1000000	
0.5800	-0.03342	56.64	-0.6747	300.12	-1000000	-1000000	-1000000	-1000000	
0.6000	-0.03340	56.66	-0.6747	300.11	-1000000	-1000000	-1000000	-1000000	
0.6200	-0.03339	56.67	-0.6747	300.13	-1000000	-1000000	-1000000	-1000000	
0.6400	-0.03339	56.67	-0.6747	300.14	-1000000	-1000000	-1000000	-1000000	
0.6600	-0.03338	56.61	-0.6747	300.14	-1000000	-1000000	-1000000	-1000000	
0.6800	-0.03338	56.57	-0.6746	300.11	-1000000	-1000000	-1000000	-1000000	
0.7000	-0.03337	56.66	-0.6746	300.11	-1000000	-1000000	-1000000	-1000000	
0.7200	-0.03338	56.66	-0.6746	300.13	-1000000	-1000000	-1000000	-1000000	
0.7400	-0.03343	56.69	-0.6746	300.14	-1000000	-1000000	-1000000	-1000000	
0.7600	-0.03342	56.74	-0.6746	300.12	-1000000	-1000000	-1000000	-1000000	
0.7800	-0.03336	56.91	-0.6747	300.11	-1000000	-1000000	-1000000	-1000000	
0.8000	-0.03335	56.99	-0.6747	300.12	-1000000	-1000000	-1000000	-1000000	
0.8200	-0.03332	56.91	-0.6746	300.14	-1000000	-1000000	-1000000	-1000000	
0.8400	-0.03330	56.90	-0.6746	300.14	-1000000	-1000000	-1000000	-1000000	
0.8600	-0.03334	56.96	-0.6746	300.11	-1000000	-1000000	-1000000	-1000000	
0.8800	-0.03337	56.86	-0.6747	300.11	-1000000	-1000000	-1000000	-1000000	
0.9000	-0.03340	56.67	-0.6747	300.13	-1000000	-1000000	-1000000	-1000000	
0.9200	-0.03341	56.55	-0.6746	300.14	-1000000	-1000000	-1000000	-1000000	
0.9400	-0.03334	56.61	-0.6746	300.13	-1000000	-1000000	-1000000	-1000000	
0.9600	-0.03326	56.69	-0.6746	300.11	-1000000	-1000000	-1000000	-1000000	
0.9800	-0.03321	56.76	-0.6746	300.12	-1000000	-1000000	-1000000	-1000000	
1.000	-0.03325	56.60	-0.6747	300.14	-1000000	-1000000	-1000000	-1000000	
1.020	-0.03331	56.54	-0.6748	300.14	-1000000	-1000000	-1000000	-1000000	
1.040	-0.03336	56.64	-0.6747	300.11	-1000000	-1000000	-1000000	-1000000	
1.060	-0.03336	56.75	-0.6746	300.11	-1000000	-1000000	-1000000	-1000000	
1.080	-0.03327	56.77	-0.6747	300.13	-1000000	-1000000	-1000000	-1000000	
1.100	-0.03324	56.62	-0.6746	300.14	-1000000	-1000000	-1000000	-1000000	
1.120	-0.03328	56.54	-0.6747	300.13	-1000000	-1000000	-1000000	-1000000	
1.140	-0.03329	56.47	-0.6746	300.11	-1000000	-1000000	-1000000	-1000000	
1.160	-0.03328	56.45	-0.6743	300.12	-1000000	-1000000	-1000000	-1000000	
1.180	-0.03331	56.54	-0.6741	300.14	-1000000	-1000000	-1000000	-1000000	
1.200	-0.03334	56.54	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
1.220	-0.03333	56.51	-0.6741	300.12	-1000000	-1000000	-1000000	-1000000	
1.240	-0.03334	56.63	-0.6741	300.11	-1000000	-1000000	-1000000	-1000000	
1.260	-0.03338	56.76	-0.6740	300.13	-1000000	-1000000	-1000000	-1000000	
1.280	-0.03335	56.84	-0.6740	300.15	-1000000	-1000000	-1000000	-1000000	
1.300	-0.03324	56.85	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
1.320	-0.03318	56.85	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
1.340	-0.03323	56.83	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
1.360	-0.03330	56.82	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
1.380	-0.03332	56.81	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
1.400	-0.03329	56.87	-0.6740	300.13	-1000000	-1000000	-1000000	-1000000	
1.420	-0.03328	56.87	-0.6740	300.11	-1000000	-1000000	-1000000	-1000000	
1.440	-0.03327	56.95	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
1.460	-0.03325	56.89	-0.6740	300.15	-1000000	-1000000	-1000000	-1000000	
1.480	-0.03327	56.88	-0.6741	300.15	-1000000	-1000000	-1000000	-1000000	
1.500	-0.03329	56.86	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
1.520	-0.03331	56.93	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
1.540	-0.03333	56.86	-0.6740	300.13	-1000000	-1000000	-1000000	-1000000	
1.560	-0.03334	56.79	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
1.580	-0.03332	56.81	-0.6740	300.13	-1000000	-1000000	-1000000	-1000000	
1.600	-0.03331	56.77	-0.6739	300.11	-1000000	-1000000	-1000000	-1000000	
1.620	-0.03330	56.80	-0.6739	300.11	-1000000	-1000000	-1000000	-1000000	
1.640	-0.03333	56.82	-0.6739	300.13	-1000000	-1000000	-1000000	-1000000	
1.660	-0.03330	56.76	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
1.680	-0.03325	56.76	-0.6739	300.12	-1000000	-1000000	-1000000	-1000000	
1.700	-0.03328	56.77	-0.6740	300.11	-1000000	-1000000	-1000000	-1000000	
1.720	-0.03334	56.80	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
1.740	-0.03334	56.84	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
1.760	-0.03326	56.76	-0.6740	300.13	-1000000	-1000000	-1000000	-1000000	
1.780	-0.03315	56.77	-0.6740	300.11	-1000000	-1000000	-1000000	-1000000	
1.800	-0.03313	56.82	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
1.820	-0.03317	56.89	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
1.840	-0.03321	56.97	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
1.860	-0.03321	56.92	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
1.880	-0.03322	56.84	-0.6741	300.11	-1000000	-1000000	-1000000	-1000000	
1.900	-0.03323	56.72	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
1.920	-0.03321	56.72	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
1.940	-0.03319	56.70	-0.6739	300.14	-1000000	-1000000	-1000000	-1000000	
1.960	-0.03320	56.67	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
1.980	-0.03321	56.70	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
2.000	-0.03320	56.81	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
2.020	-0.03319	56.84	-0.6740	300.15	-1000000	-1000000	-1000000	-1000000	
2.040	-0.03318	56.62	-0.6740	300.13	-1000000	-1000000	-1000000	-1000000	
2.060	-0.03323	56.60	-0.6740	300.11	-1000000	-1000000	-1000000	-1000000	
2.080	-0.03325	56.77	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
2.100	-0.03319	56.90	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
2.120	-0.03310	56.77	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
2.140	-0.03309	56.75	-0.6741	300.12	-1000000	-1000000	-1000000	-1000000	
2.160	-0.03314	56.83	-0.6740	300.11	-1000000	-1000000	-1000000	-1000000	
2.180	-0.03317	56.83	-0.6739	300.12	-1000000	-1000000	-1000000	-1000000	
2.200	-0.03316	57.31	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
2.220	-0.03320	58.27	-0.6740	300.13	-1000000	-1000000	-1000000	-1000000	
2.240	-0.03322	58.81	-0.6740	300.11	-1000000	-1000000	-1000000	-1000000	
2.260	-0.03321	58.58	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
2.280	-0.03319	57.69	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
2.300	-0.03316	56.91	-0.6739	300.15	-1000000	-1000000	-1000000	-1000000	
2.320	-0.03313	56.68	-0.6739	300.13	-1000000	-1000000	-1000000	-1000000	
2.340	-0.03312	56.77	-0.6740	300.11	-1000000	-1000000	-1000000	-1000000	
2.360	-0.03312	56.84	-0.6740	300.12	-1000000	-1000000	-1000000	-1000000	
2.380	-0.03315	56.99	-0.6740	300.14	-1000000	-1000000	-1000000	-1000000	
2.400	-0.03316	57.00	-0.6740	300.13	-1000000	-1000000	-1000000	-1000000	
2.420	-0.03313	56.88	-0.6740	300.11	-1000000	-1000000	-1000000	-1000000	
2.440	-0.03312	56.86	-0.6738	300.11	-1000000	-1000000	-1000000	-1000000	
2.460	-0.03311	56.76	-0.6735	300.13	-1000000	-1000000	-1000000	-1000000	
2.480	-0.03313	56.64	-0.6734	300.14	-1000000	-1000000	-1000000	-1000000	
2.500	-0.03312	56.67	-0.6733	300.13	-1000000	-1000000	-1000000	-1000000	
2.520	-0.03310	56.83	-0.6734	300.11	-1000000	-1000000	-1000000	-1000000	
2.540	-0.03311	56.99	-0.6734	300.12	-1000000	-1000000	-1000000	-1000000	
2.560	-0.03316	56.92	-0.6734	300.14	-1000000	-1000000	-1000000	-1000000	
2.580	-0.03316	56.84	-0.6734	300.14	-1000000	-1000000	-1000000	-1000000	
2.600	-0.03312	56.86	-0.6734	300.12	-1000000	-1000000	-1000000	-1000000	
2.620	-0.03304	56.82	-0.6733	300.12	-1000000	-1000000	-1000000	-1000000	
2.640	-0.03304	56.75	-0.6732	300.13	-1000000	-1000000	-1000000	-1000000	
2.660	-0.03307	56.66	-0.6733	300.14	-1000000	-1000000	-1000000	-1000000	
2.680	-0.03312	56.74	-0.6733	300.12	-1000000	-1000000	-1000000	-1000000	
2.700	-0.03320	56.72	-0.6733	300.11	-1000000	-1000000	-1000000	-1000000	
2.720	-0.03322	56.65	-0.6734	300.12	-1000000	-1000000	-1000000	-1000000	
2.740	-0.03316	56.76	-0.6734	300.14	-1000000	-1000000	-1000000	-1000000	
2.760	-0.03304	56.85	-0.6733	300.14	-1000000	-1000000	-1000000	-1000000	
2.780	-0.03299	56.74	-0.6733	300.12	-1000000	-1000000	-1000000	-1000000	
2.800	-0.03304	56.49	-0.6733	300.11	-1000000	-1000000	-1000000	-1000000	
2.820	-0.03308	56.60	-0.6733	300.13	-1000000	-1000000	-1000000	-1000000	
2.840	-0.03310	56.67	-0.6734	300.14	-1000000	-1000000	-1000000	-1000000	
2.860	-0.03311	56.69	-0.6733	300.13	-1000000	-1000000	-1000000	-1000000	
2.880	-0.03310	56.69	-0.6733	300.11	-1000000	-1000000	-1000000	-1000000	
2.900	-0.03310	56.65	-0.6733	300.11	-1000000	-1000000	-1000000	-1000000	
2.920	-0.03306	56.68	-0.6733	300.13	-1000000	-1000000	-1000000	-1000000	
2.940	-0.03302	56.73	-0.6733	300.14	-1000000	-1000000	-1000000	-1000000	
2.960	-0.03299	56.77	-0.6733	300.12	-1000000	-1000000	-1000000	-1000000	
2.980	-0.03300	56.77	-0.6733	300.11	-1000000	-1000000	-1000000	-1000000	
3.000	-0.03301	56.75	-0.6733	300.13	-1000000	-1000000	-1000000	-1000000	
3.020	-0.03303	56.76	-0.6734	300.14	-1000000	-1000000	-1000000	-1000000	
3.040	-0.03302	56.57	-0.6734	300.13	-1000000	-1000000	-1000000	-1000000	
3.060	-0.03302	56.40	-0.6734	300.11	-1000000	-1000000	-1000000	-1000000	
3.080	-0.03303	56.47	-0.6733	300.12	-1000000	-1000000	-1000000	-1000000	
3.100	-0.03302	56.63	-0.6733	300.14	-1000000	-1000000	-1000000	-1000000	
3.120	-0.03301	56.64	-0.6734	300.14	-1000000	-1000000	-1000000	-1000000	
3.140	-0.03300	56.68	-0.6734	300.12	-1000000	-1000000	-1000000	-1000000	
3.160	-0.03305	56.75	-0.6733	300.11	-1000000	-1000000	-1000000	-1000000	
3.180	-0.03310	56.74	-0.6733	300.12	-1000000	-1000000	-1000000	-1000000	
3.200	-0.03310	56.68	-0.6733	300.14	-1000000	-1000000	-1000000	-1000000	
3.220	-0.03305	56.72	-0.6734	300.14	-1000000	-1000000	-1000000	-1000000	
3.240	-0.03297	56.68	-0.6735	300.12	-1000000	-1000000	-1000000	-1000000	
3.260	-0.03293	56.61	-0.6734	300.11	-1000000	-1000000	-1000000	-1000000	
3.280	-0.03294	56.59	-0.6734	300.13	-1000000	-1000000	-1000000	-1000000	
3.300	-0.03298	56.86	-0.6733	300.14	-1000000	-1000000	-1000000	-1000000	
3.320	-0.03302	56.84	-0.6734	300.13	-1000000	-1000000	-1000000	-1000000	
3.340	-0.03307	56.61	-0.6734	300.12	-1000000	-1000000	-1000000	-1000000	
3.360	-0.03309	56.48	-0.6734	300.14	-1000000	-1000000	-1000000	-1000000	
3.380	-0.03306	56.46	-0.6733	300.15	-1000000	-1000000	-1000000	-1000000	
3.400	-0.03303	56.54	-0.6734	300.15	-1000000	-1000000	-1000000	-1000000	
3.420	-0.03305	56.70	-0.6734	300.12	-1000000	-1000000	-1000000	-1000000	
3.440	-0.03304	56.62	-0.6734	300.11	-1000000	-1000000	-1000000	-1000000	
3.460	-0.03298	56.43	-0.6734	300.12	-1000000	-1000000	-1000000	-1000000	
