Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
0	0.03149	131.30	0.8833	300.10	-1000000	-1000000	-1000000	-1000000	
0.02000	0.03146	130.60	0.8834	300.12	-1000000	-1000000	-1000000	-1000000	
0.04000	0.03143	130.47	0.8835	300.14	-1000000	-1000000	-1000000	-1000000	
0.06000	0.03143	131.25	0.8835	300.13	-1000000	-1000000	-1000000	-1000000	
0.08000	0.03149	131.87	0.8835	300.11	-1000000	-1000000	-1000000	-1000000	
0.1000	0.03159	131.98	0.8834	300.11	-1000000	-1000000	-1000000	-1000000	
0.1200	0.03164	131.92	0.8834	300.13	-1000000	-1000000	-1000000	-1000000	
0.1400	0.03157	131.88	0.8834	300.14	-1000000	-1000000	-1000000	-1000000	
0.1600	0.03152	131.99	0.8835	300.12	-1000000	-1000000	-1000000	-1000000	
0.1800	0.03153	132.12	0.8834	300.11	-1000000	-1000000	-1000000	-1000000	
0.2000	0.03159	132.20	0.8834	300.11	-1000000	-1000000	-1000000	-1000000	
0.2200	0.03161	132.15	0.8834	300.13	-1000000	-1000000	-1000000	-1000000	
0.2400	0.03155	132.06	0.8833	300.14	-1000000	-1000000	-1000000	-1000000	
0.2600	0.03154	131.55	0.8834	300.13	-1000000	-1000000	-1000000	-1000000	
0.2800	0.03156	130.68	0.8833	300.11	-1000000	-1000000	-1000000	-1000000	
0.3000	0.03158	130.16	0.8833	300.12	-1000000	-1000000	-1000000	-1000000	
0.3200	0.03163	130.16	0.8833	300.14	-1000000	-1000000	-1000000	-1000000	
0.3400	0.03166	130.28	0.8835	300.14	-1000000	-1000000	-1000000	-1000000	
0.3600	0.03162	130.39	0.8838	300.12	-1000000	-1000000	-1000000	-1000000	
0.3800	0.03157	130.37	0.8839	300.10	-1000000	-1000000	-1000000	-1000000	
0.4000	0.03157	130.36	0.8840	300.12	-1000000	-1000000	-1000000	-1000000	
0.4200	0.03164	130.99	0.8840	300.14	-1000000	-1000000	-1000000	-1000000	
0.4400	0.03172	131.41	0.8841	300.13	-1000000	-1000000	-1000000	-1000000	
0.4600	0.03172	131.68	0.8840	300.11	-1000000	-1000000	-1000000	-1000000	
0.4800	0.03168	131.94	0.8840	300.11	-1000000	-1000000	-1000000	-1000000	
0.5000	0.03165	132.05	0.8839	300.12	-1000000	-1000000	-1000000	-1000000	
0.5200	0.03164	131.92	0.8840	300.14	-1000000	-1000000	-1000000	-1000000	
0.5400	0.03164	131.72	0.8840	300.12	-1000000	-1000000	-1000000	-1000000	
0.5600	0.03166	131.66	0.8841	300.10	-1000000	-1000000	-1000000	-1000000	
0.5800	0.03168	131.72	0.8840	300.11	-1000000	-1000000	-1000000	-1000000	
0.6000	0.03172	131.85	0.8840	300.13	-1000000	-1000000	-1000000	-1000000	
0.6200	0.03179	131.98	0.8840	300.14	-1000000	-1000000	-1000000	-1000000	
0.6400	0.03180	132.12	0.8840	300.12	-1000000	-1000000	-1000000	-1000000	
0.6600	0.03175	132.02	0.8839	300.11	-1000000	-1000000	-1000000	-1000000	
0.6800	0.03169	131.90	0.8840	300.12	-1000000	-1000000	-1000000	-1000000	
0.7000	0.03163	132.12	0.8841	300.13	-1000000	-1000000	-1000000	-1000000	
0.7200	0.03162	132.28	0.8841	300.14	-1000000	-1000000	-1000000	-1000000	
0.7400	0.03163	132.21	0.8840	300.12	-1000000	-1000000	-1000000	-1000000	
0.7600	0.03170	132.08	0.8840	300.10	-1000000	-1000000	-1000000	-1000000	
0.7800	0.03177	132.14	0.8840	300.12	-1000000	-1000000	-1000000	-1000000	
0.8000	0.03181	132.22	0.8840	300.14	-1000000	-1000000	-1000000	-1000000	
0.8200	0.03182	132.18	0.8841	300.13	-1000000	-1000000	-1000000	-1000000	
0.8400	0.03178	132.06	0.8841	300.11	-1000000	-1000000	-1000000	-1000000	
0.8600	0.03175	131.88	0.8841	300.11	-1000000	-1000000	-1000000	-1000000	
0.8800	0.03178	131.70	0.8840	300.12	-1000000	-1000000	-1000000	-1000000	
0.9000	0.03178	131.73	0.8841	300.14	-1000000	-1000000	-1000000	-1000000	
0.9200	0.03175	131.86	0.8844	300.13	-1000000	-1000000	-1000000	-1000000	
0.9400	0.03179	131.42	0.8846	300.11	-1000000	-1000000	-1000000	-1000000	
0.9600	0.03182	130.72	0.8847	300.11	-1000000	-1000000	-1000000	-1000000	
0.9800	0.03177	130.37	0.8847	300.13	-1000000	-1000000	-1000000	-1000000	
1.000	0.03173	130.28	0.8847	300.14	-1000000	-1000000	-1000000	-1000000	
1.020	0.03173	130.18	0.8847	300.13	-1000000	-1000000	-1000000	-1000000	
1.040	0.03174	130.10	0.8847	300.11	-1000000	-1000000	-1000000	-1000000	
1.060	0.03173	130.30	0.8846	300.11	-1000000	-1000000	-1000000	-1000000	
1.080	0.03172	130.80	0.8846	300.13	-1000000	-1000000	-1000000	-1000000	
1.100	0.03170	131.63	0.8847	300.13	-1000000	-1000000	-1000000	-1000000	
1.120	0.03174	131.91	0.8847	300.12	-1000000	-1000000	-1000000	-1000000	
1.140	0.03183	131.96	0.8847	300.11	-1000000	-1000000	-1000000	-1000000	
1.160	0.03186	132.13	0.8847	300.13	-1000000	-1000000	-1000000	-1000000	
1.180	0.03186	131.98	0.8847	300.15	-1000000	-1000000	-1000000	-1000000	
1.200	0.03184	131.78	0.8847	300.14	-1000000	-1000000	-1000000	-1000000	
1.220	0.03181	131.77	0.8847	300.12	-1000000	-1000000	-1000000	-1000000	
1.240	0.03175	131.72	0.8847	300.12	-1000000	-1000000	-1000000	-1000000	
